t,icao,tpos,lat,lon,alt,tv,gs,trk,roc,t50,tas,t60,ias,mach,hdg,vwx,vwy,temp
1522942635.3572779,4841D5,1522942635.2616,52.01705,4.99368,13050.0,1522942635.3572779,419.0,114.06,3264.0,1522942635.176925,386.0,1522942635.316024,322.0,0.612,113.027,12.82,-12.48,259.16
1522942639.309617,4841D5,1522942639.309617,52.01384,5.0052900000000005,13300.0,1522942638.494121,419.0,114.06,3712.0,1522942639.1413946,386.0,1522942639.141378,322.0,0.616,112.676,12.71,-12.91,259.04
1522942640.273313,4841D5,1522942640.273313,52.01308,5.00801,13350.0,1522942638.494121,419.0,114.06,3712.0,1522942640.194326,386.0,1522942639.141378,322.0,0.616,112.676,12.66,-13.16,258.94
1522942647.3386278,4841D5,1522942647.3386278,52.007509999999996,5.02836,13750.0,1522942646.947191,421.0,113.95,3136.0,,,1522942647.070978,321.0,0.616,112.148,12.6,-13.19,258.75
1522942648.017691,4841D5,1522942647.3386278,52.007509999999996,5.02836,13750.0,1522942648.017691,422.0,113.89,3072.0,1522942648.2073462,388.0,1522942647.070978,321.0,0.616,112.148,12.52,-13.75,259.9
1522942652.4005039,4841D5,1522942652.4005039,52.00346,5.0428,14000.0,1522942650.9524288,423.0,113.96,3136.0,1522942648.2073462,388.0,1522942652.034335,321.0,0.62,112.324,12.57,-14.24,259.22
1522942654.332421,4841D5,1522942654.332421,52.00195,5.04868,14100.0,1522942654.070347,424.0,113.91,3200.0,,,1522942654.220011,320.0,0.62,112.324,12.59,-14.26,259.29
1522942656.3543868,4841D5,1522942656.3543868,52.00035,5.05424,14225.0,1522942654.070347,424.0,113.91,3200.0,,,1522942656.197062,320.0,0.62,112.5,12.63,-14.25,259.29
1522942657.857697,4841D5,1522942657.857697,51.99913,5.05724,14300.0,1522942654.070347,424.0,113.91,3200.0,,,1522942658.187392,320.0,0.624,112.5,12.67,-14.21,258.91
1522942658.685544,4841D5,1522942657.857697,51.99913,5.05724,14300.0,1522942658.685544,426.0,113.8,3200.0,,,1522942658.516215,320.0,0.624,112.5,12.64,-14.15,258.97
1522942660.279783,4841D5,1522942660.279783,51.99719,5.06607,14450.0,1522942660.195557,426.0,113.8,3136.0,1522942660.3879108,390.0,1522942660.387942,320.0,0.624,112.5,12.92,-14.53,257.46
1522942662.983079,4841D5,1522942662.983079,51.99504,5.07195,14575.0,1522942662.210777,427.0,113.87,3072.0,1522942662.939372,392.0,1522942662.939386,320.0,0.624,112.5,12.94,-14.77,258.49
1522942663.878298,4841D5,1522942662.983079,51.99504,5.07195,14575.0,1522942663.878298,428.0,113.81,3200.0,1522942662.939372,392.0,1522942664.203543,320.0,0.628,112.5,13.05,-14.9,257.9
1522942665.14572,4841D5,1522942665.14572,51.9933,5.07797,14700.0,1522942664.82351,428.0,113.81,3200.0,1522942664.681646,392.0,1522942664.203543,320.0,0.628,112.5,13.17,-15.02,257.54
1522942666.2514448,4841D5,1522942665.14572,51.9933,5.07797,14700.0,1522942666.2514448,429.0,113.76,3200.0,1522942665.860781,392.0,1522942665.869294,319.0,0.624,112.676,13.38,-15.0,258.06
1522942667.100857,4841D5,1522942667.100857,51.99174,5.08369,14800.0,1522942666.2514448,429.0,113.76,3200.0,1522942666.894842,392.0,1522942665.869294,319.0,0.624,112.676,13.52,-15.0,258.41
1522942668.283206,4841D5,1522942668.19365,51.99088,5.0894900000000005,14850.0,1522942668.283206,430.0,113.83,2944.0,1522942666.894842,392.0,1522942668.2035651,319.0,0.628,112.5,13.65,-15.12,258.08
1522942669.160164,4841D5,1522942668.643881,51.99051,5.08972,14875.0,1522942669.160164,430.0,113.83,2944.0,1522942668.658602,394.0,1522942668.2035651,319.0,0.628,112.5,13.66,-15.13,258.08
1522942670.237886,4841D5,1522942670.237886,51.98923,5.09552,14950.0,1522942669.160164,430.0,113.83,2944.0,1522942668.658602,394.0,1522942669.623828,320.0,0.632,112.5,13.64,-15.2,257.7
1522942672.3474839,4841D5,1522942672.3474839,51.98749,5.10162,15050.0,1522942672.102279,432.0,113.84,2688.0,1522942672.207946,396.0,1522942672.207932,321.0,0.636,112.324,13.58,-15.35,257.28
1522942672.3474839,4841D5,1522942672.3474839,51.98749,5.10162,15050.0,1522942672.102279,432.0,113.84,2688.0,1522942672.929799,396.0,1522942672.207932,321.0,0.636,112.324,13.52,-15.49,256.95
1522942674.199017,4841D5,1522942673.983396,51.98619,5.1044,15125.0,1522942674.199017,432.0,113.84,2816.0,1522942674.058432,398.0,1522942674.1158,322.0,0.636,112.148,13.33,-15.61,257.07
1522942675.01358,4841D5,1522942675.01358,51.98534,5.107419999999999,15175.0,1522942674.786923,434.0,113.91,2880.0,1522942675.3943038,398.0,1522942674.834751,321.0,0.636,112.148,13.27,-15.8,257.19
